player,matches_played,Innings_played,not_outs,runs_scored,high_score,average,strike_rate,hundreds,fifties,ducks,team
Abdul Basith,1,1,1,1,1*,0,100.00,0,0,0,RR
Abdul Samad,9,8,4,169,37*,42.25,132.03,0,0,0,SRH
Abhishek Sharma,11,11,0,226,67,20.54,143.94,0,2,1,SRH
Abishek Porel,4,4,0,33,20,8.25,106.45,0,0,0,DC
MA Agarwal,10,10,0,270,83,27.00,128.57,0,1,0,SRH
KK Ahmed,9,0,0,0,0,0,0.00,0,0,0,DC
Akash Deep,2,1,0,17,17,17.00,212.50,0,0,0,RCB
Akash Singh,6,0,0,0,0,0,0.00,0,0,0,CSK
MM Ali,15,10,3,124,23,17.71,136.26,0,0,0,CSK
Aman Hakim Khan,11,9,1,110,51,13.75,108.91,0,1,1,DC
Anmolpreet Singh,4,4,0,105,36,26.25,128.04,0,0,0,SRH
Anuj Rawat,9,7,4,91,29*,30.33,128.16,0,0,0,RCB
JC Archer,5,2,2,4,3*,0,100.00,0,0,0,MI
VG Arora,5,2,2,3,2*,0,150.00,0,0,0,KKR
Arshad Khan,6,3,1,18,15*,9.00,120.00,0,0,0,MI
Arshdeep Singh,14,2,2,2,2*,0,100.00,0,0,0,PBKS
M Ashwin,2,0,0,0,0,0,0.00,0,0,0,RR
R Ashwin,13,10,4,67,30,11.16,131.37,0,0,2,RR
KM Asif,4,1,0,0,0,0.00,0.00,0,0,1,RR
Avesh Khan,9,1,1,0,0*,0,0.00,0,0,0,LSG
A Badoni,15,12,2,238,59*,23.80,138.37,0,1,0,LSG
JP Behrendorff,12,2,2,6,3*,0,66.66,0,0,0,MI
TA Boult,10,4,3,16,15,16.00,114.28,0,0,0,RR
MG Bracewell,5,4,2,58,26,29.00,123.40,0,0,0,RCB
HC Brook,11,11,2,190,100*,21.11,123.37,1,0,3,SRH
JC Buttler,14,14,0,392,95,28.00,139.00,0,4,5,RR
YS Chahal,14,0,0,0,0,0,0.00,0,0,0,RR
DL Chahar,10,1,1,1,1*,0,50.00,0,0,0,CSK
RD Chahar,14,3,1,0,0*,0.00,0.00,0,0,2,PBKS
PP Chawla,16,4,2,25,18,12.50,113.63,0,0,1,MI
DP Conway,16,15,2,672,92*,51.69,139.70,0,6,1,CSK
SM Curran,14,13,3,276,55,27.60,135.96,0,1,0,PBKS
MJ Dagar,3,0,0,0,0,0,0.00,0,0,0,SRH
TH David,16,15,6,231,45*,25.66,158.21,0,0,2,MI
Q de Kock,4,4,0,143,70,35.75,140.19,0,1,0,LSG
TU Deshpande,16,1,1,0,0*,0,0.00,0,0,0,CSK
