player,matches_played,Innings_played,balls,maidens,runs,wickets,best_innings,average,economy,strike_rate,five_wickets,ten_wickets,keeper_catches,stumpings,team
Abdul Basith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,RR
Abdul Samad,9,0,0,0,0,0,0,0,0,0,0,0,4,0,SRH
Abhishek Sharma,11,5,72,0,124,2,1/26,62.00,10.33,36.0,0,0,4,0,SRH
Abishek Porel,4,0,0,0,0,0,0,0,0,0,0,0,4,0,DC
MA Agarwal,10,0,0,0,0,0,0,0,0,0,0,0,6,0,SRH
KK Ahmed,9,9,198,2,301,9,2/24,33.44,9.12,22.0,0,0,2,0,DC
Akash Deep,2,2,30,0,59,1,1/29,59.00,11.80,30.0,0,0,1,0,RCB
Akash Singh,6,6,114,0,188,5,2/40,37.60,9.89,22.8,0,0,1,0,CSK
MM Ali,15,11,156,0,195,9,4/26,21.66,7.50,17.3,0,0,4,0,CSK
Aman Hakim Khan,11,0,0,0,0,0,0,0,0,0,0,0,9,0,DC
Anmolpreet Singh,4,0,0,0,0,0,0,0,0,0,0,0,1,0,SRH
Anuj Rawat,9,0,0,0,0,0,0,0,0,0,0,0,3,0,RCB
JC Archer,5,5,120,0,190,2,1/35,95.00,9.50,60.0,0,0,1,0,MI
VG Arora,5,5,96,0,146,5,2/30,29.20,9.12,19.2,0,0,3,0,KKR
Arshad Khan,6,6,85,0,190,5,3/39,38.00,13.41,17.0,0,0,2,0,MI
Arshdeep Singh,14,14,305,0,493,17,4/29,29.00,9.69,17.9,0,0,1,0,PBKS
M Ashwin,2,2,24,0,53,0,0,0,13.25,0,0,0,0,0,RR
R Ashwin,13,13,294,0,368,14,2/23,26.28,7.51,21.0,0,0,1,0,RR
KM Asif,4,4,84,0,138,3,2/42,46.00,9.85,28.0,0,0,1,0,RR
Avesh Khan,9,9,174,0,283,8,3/25,35.36,9.75,21.7,0,0,2,0,LSG
A Badoni,15,1,1,0,0,0,0,0,0.00,0,0,0,2,0,LSG
